S.no.,Top,Bottom,Layer,Dresses,Occasion,Style Name,Notes
1,Denim Shirt,Black Trousers,None,None,Work/Smart Casual,Chic Office,"Pair with loafers, a tan tote bag, and subtle stud earrings."
2,Denim Shirt,Black Playsuit,None,None,Casual,Urban Edge,"Add chunky sneakers, a black belt bag, and hoop earrings."
3,Denim Shirt,Black Legging,None,None,Casual,Laid-back Comfort,"Wear with slip-on sneakers, a backpack, and a baseball cap."
4,Denim Shirt,White Jeans,None,None,Casual,Smart Casual,"Complement with nude flats, a gold chain necklace, and a tote."
5,Denim Shirt,Jeans,White Tank Top,None,Casual,Classic,"Add white sneakers, aviator sunglasses, and a watch."
6,Denim Shirt,Denim Shorts,White Tank Top,None,Summer Casual,Weekend Cool,"Style with white sneakers, a bucket hat, and layered bracelets."
7,Denim Shirt,Gym Shorts,Black Tank Top,None,Athleisure,Sporty Chic,"Pair with running shoes, a gym bag, and wireless earbuds."
8,Denim Shirt,Black Skirt,Black Tank Top,None,Smart Casual,Feminine Edge,"Wear with ankle boots, a black handbag, and statement earrings."
9,Denim Shirt,None,None,Floral,Casual,Floral Touch,"Match with strappy sandals, a crossbody bag, and boho jewelry."
10,Pink Top,White Skirt,None,None,Day Out,Soft & Feminine,"Add nude sandals, pearl earrings, and a light pink crossbody bag."
11,None,None,Beige Cardigan,Black Long Dress,Dinner Date,Elegant Minimal,"Pair with black heels, a clutch, and a delicate necklace."
12,Green Top,Black Jeans,None,None,Casual,Earthy Casual,"Add ankle boots, a leather belt, and a satchel bag."
13,None,None,Beige Cardigan,Yellow Floral Dress,Day Out,Spring Light,"Pair with espadrilles, a straw hat, and dainty gold jewelry."
14,Blue Tank,White Wide Leg Pyjamas,None,None,Loungewear,Cozy Comfort,"Wear with cozy slippers, a headband, and a robe or shawl."
15,White Top,Blue Bootcut Jeans,None,None,Everyday Casual,Retro Basics,"Style with platform sandals, hoop earrings, and a shoulder bag."
16,Blue Tank,Denim Skirt,Denim Jacket,None,Casual,Denim Duo,"Add sneakers, silver jewelry, and a mini backpack."
17,White Basic Tee,Blue Wide Leg Jeans,Grey Cardigan,None,Casual,Soft Layers,"Pair with canvas shoes, a beanie, and a crossbody satchel."
18,White Tank,White Pants,Pink Shirt,None,Resort Wear,Soft Monochrome,"Combine with tan sandals, sunglasses, and a beach tote."
19,Green Top,Blue Straight Leg Jeans,None,None,Casual,Clean Everyday,"Style with white sneakers, a brown belt, and a watch."
20,"Striped knit cropped sweater (multi-color: beige, blue, brown)",Brown wide-leg cargo pants,None,None,Casual/Streetwear,Cozy Street,"Comfortable layered look for casual outings, works well in fall/winter. Pair with sneakers."
21,White Cami Top,Beige Jeans,Pink Cardigan,None,Day Out,Soft Romantic,"Pair with ballet flats, pearl studs, and a mini shoulder bag."
22,Black Top,Beige Shorts,None,None,Summer Casual,Chic Contrast,"Add black sandals, a tote, and black sunglasses."
23,White Top,Blue Denim Skirt,None,None,Casual,Minimal Street,"Style with white sneakers, gold hoops, and a crossbody bag."
24,Blue Tank,Blue Bootcut Jeans,Blue Sweater,None,Casual,Tonal Layering,"Wear with white sneakers, layered chain necklaces, and a belt."
25,Burgundy Offshoulder Top,Wide-leg Blue Wash Jeans,None,None,Evening Out,Relaxed Glam,"Pair with heels, a clutch, and statement earrings."
26,V-Neck Pink Sweater,White Jeans,None,None,Cozy Casual,Winter Chic,"Add ankle boots, a scarf, and a small satchel."
26,White Tank,Pink Floral Long Skirt,White Cardigan,None,Garden Outing,Feminine Vintage,"Combine with strappy sandals, a straw bag, and floral earrings."
27,"Striped Top (beige, blue, brown)",Beige Jeans,None,None,Everyday Casual,Retro Neutrals,"Pair with loafers, gold hoops, and a messenger bag."
28,Pink Square Neck Top,White Jeans,None,None,Brunch,Fresh & Flirty,"Wear with nude wedges, a mini purse, and layered bangles."
